190,103,137,21,63,195,60,0,0,0,0,0,0,0
128,179,58,39,53,60,0,0,0,0,0,0,0,0
192,84,142,55,47,10,109,60,0,0,0,0,0,0
72,154,189,108,10,106,60,0,0,0,0,0,0,0
190,96,75,58,84,60,0,0,0,0,0,0,0,0
128,179,115,75,60,0,0,0,0,0,0,0,0,0
192,64,142,47,109,60,0,0,0,0,0,0,0,0
72,180,194,185,10,60,0,0,0,0,0,0,0,0
190,7,137,11,85,53,60,0,0,0,0,0,0,0
128,179,58,84,60,0,0,0,0,0,0,0,0,0
190,7,103,164,21,63,119,153,100,113,60,0,0,0
192,84,130,71,16,57,176,133,109,141,197,60,0,0
190,7,21,99,184,61,12,10,0,0,0,0,0,0
190,103,137,63,58,91,33,84,40,10,0,0,0,0
190,137,174,58,40,109,47,10,0,0,0,0,0,0
190,178,11,53,46,141,133,10,0,0,0,0,0,0
190,96,199,75,175,47,5,10,0,0,0,0,0,0
128,78,179,115,40,109,10,0,0,0,0,0,0,0
128,59,23,97,126,165,176,10,0,0,0,0,0,0
128,23,115,40,98,38,10,0,0,0,0,0,0,0
128,48,13,175,66,90,107,89,5,57,10,0,0,0
128,13,95,66,64,55,47,10,0,0,0,0,0,0
72,154,168,185,189,5,176,10,0,0,0,0,0,0
192,64,130,71,16,5,47,10,0,0,0,0,0,0
190,103,160,14,91,98,176,42,110,0,0,0,0,0
190,7,101,174,75,40,109,47,5,57,148,110,0,0
190,178,96,179,199,115,111,47,73,200,110,0,0,0
190,199,84,53,141,12,158,108,76,110,0,0,0,0
190,78,179,38,47,156,68,42,29,110,0,0,0,0
128,78,179,58,84,109,176,158,108,42,76,110,0,0
128,179,24,23,97,90,165,5,57,148,136,110,0,0
128,24,199,115,30,90,71,73,136,110,0,0,0,0
128,59,75,40,109,10,158,108,148,81,110,0,0,0
128,48,83,13,111,152,189,83,108,110,0,0,0,0
190,137,160,39,33,53,141,156,68,56,76,183,29,110
128,23,175,111,47,5,57,158,42,81,110,0,0,0
60,61,112,122,193,54,43,9,17,116,0,0,0,0
60,74,61,46,193,54,77,17,116,0,0,0,0,0
60,197,102,125,186,93,49,162,125,171,163,116,0,0
60,106,88,102,125,186,93,79,188,171,172,116,0,0
60,25,106,61,113,122,193,201,18,3,116,0,0,0
60,113,184,41,18,3,116,0,0,0,0,0,0,0
60,36,122,193,54,43,9,171,17,116,0,0,0,0
10,133,82,155,104,125,186,93,188,171,17,116,0,0
10,156,198,70,2,166,114,93,9,172,116,0,0,0
10,176,158,150,88,155,125,182,193,54,77,116,0,0
60,100,113,122,193,54,77,3,116,0,0,0,0,0
10,10,98,46,153,184,129,41,18,3,116,0,0,0
60,61,113,122,182,147,49,93,169,124,0,0,0,0
60,74,102,125,32,27,22,124,0,0,0,0,0,0
60,197,106,88,82,70,149,124,0,0,0,0,0,0
60,106,155,126,114,149,124,0,0,0,0,0,0,0
60,25,12,82,2,166,144,127,27,22,124,0,0,0
60,113,122,191,162,188,79,140,169,124,0,0,0,0
60,36,182,147,93,140,169,124,0,0,0,0,0,0
10,133,150,82,135,2,32,149,124,0,0,0,0,0
10,156,198,19,173,121,177,127,27,22,124,0,0,0
10,176,47,109,141,88,102,125,186,124,0,0,0,0
60,61,36,182,147,170,93,169,124,0,0,0,0,0
10,120,156,198,121,177,27,22,124,0,0,0,0,0
60,100,113,122,182,186,149,177,121,173,159,51,0,0
60,113,122,147,93,140,169,124,22,27,127,52,157,51
60,102,155,82,198,19,173,51,0,0,0,0,0,0
60,88,155,135,2,144,177,157,121,173,159,51,0,0
60,150,133,156,65,64,80,159,51,0,0,0,0,0
60,82,135,2,144,177,157,121,173,159,80,45,51,0
60,106,120,133,156,42,56,151,37,69,45,51,0,0
10,109,98,88,155,135,70,2,144,177,157,51,0,0
10,133,198,15,80,51,0,0,0,0,0,0,0,0
10,156,68,64,80,159,173,121,51,0,0,0,0,0
60,197,141,120,156,8,151,138,45,159,51,0,0,0
10,57,108,42,92,8,56,151,138,69,45,51,0,0
60,61,36,182,170,186,124,22,27,52,157,159,67,87
60,74,102,125,166,144,177,159,67,132,87,0,0,0
60,197,106,88,155,70,121,159,12,87,0,0,0,0
60,106,150,133,156,68,151,37,23,6,4,87,0,0
60,25,150,198,68,76,183,65,181,50,87,0,0,0
60,141,82,198,68,56,81,29,65,196,161,87,0,0
60,36,102,155,198,19,80,45,131,12,132,87,0,0
10,176,156,198,19,173,51,67,132,12,161,87,0,0
10,156,68,56,92,76,81,65,181,50,87,0,0,0
10,42,151,138,37,69,45,67,132,87,0,0,0,0
60,36,182,170,93,140,169,27,52,132,87,0,0,0
10,156,198,121,159,131,12,132,87,0,0,0,0,0
